epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,9.76066,1.01864,1.96159,11.4587,0.00346,8.25703,0.75495,0.20288,0.30268,0.26392,0.75495,0.20288,0.30421,0.21193,0.73797,1.51882,4.22598,0.00301,0,0.0002125,0.0002125,0.0002125
2,15.2482,1.10301,1.77851,8.28144,0.00338,6.75807,0.32177,0.5161,0.32929,0.23894,0.32177,0.5161,0.33049,0.21722,1.27984,1.86007,3.35223,0.00534,0,0.000433169,0.000433169,0.000433169
3,21.8669,1.18879,1.30255,6.73221,0.00389,5.32404,0.69851,0.4125,0.49463,0.38806,0.69851,0.4125,0.4945,0.37343,1.00102,1.45232,2.66307,0.00466,0,0.000649382,0.000649382,0.000649382
4,29.7417,1.08081,1.24057,5.09427,0.00374,4.55704,0.64223,0.60603,0.60333,0.42494,0.64223,0.60603,0.59585,0.40782,1.38661,1.66866,1.91875,0.00602,0,0.000861141,0.000861141,0.000861141
5,37.6858,1.33177,1.57635,4.17567,0.00476,4.07557,0.4854,0.61392,0.57986,0.41994,0.4854,0.61392,0.57986,0.31362,1.24798,1.87084,1.95065,0.00533,0,0.00106844,0.00106844,0.00106844
6,44.0692,1.38012,1.42429,3.77271,0.00484,3.79548,0.76807,0.36532,0.54513,0.34061,0.76807,0.36532,0.55887,0.29095,1.33784,1.92739,2.27935,0.00643,0,0.00118812,0.00118812,0.00118812
7,50.4006,1.3254,1.67286,3.5166,0.00459,3.54594,0.54614,0.60873,0.55471,0.38759,0.54614,0.60873,0.55211,0.40193,1.3792,2.13544,1.88187,0.00603,0,0.00117575,0.00117575,0.00117575
8,56.6994,1.24285,1.48071,2.8967,0.00413,3.30903,0.45165,0.1375,0.13627,0.08942,0.45165,0.1375,0.1358,0.08325,2.15151,14.3894,3.73042,0.01079,0,0.00116337,0.00116337,0.00116337
9,62.9003,1.24954,1.19354,2.58243,0.00429,3.3551,0.5238,0.50141,0.40018,0.26405,0.5238,0.50141,0.40023,0.25696,1.62012,17.5459,2.45445,0.00821,0,0.001151,0.001151,0.001151
10,69.1256,1.1807,1.10137,2.24792,0.00431,3.42087,0.36452,0.4875,0.41846,0.30673,0.36452,0.4875,0.41841,0.28399,1.20541,1.35975,3.07867,0.00567,0,0.00113863,0.00113863,0.00113863
